archivo,lat,lon,ventanas_detectadas,pisos_detectados
19.405310_-99.170348.jpg,19.40531,-99.170348,11,3
19.405318_-99.175587.jpg,19.405318,-99.175587,14,1
19.405321_-99.175479.jpg,19.405321,-99.175479,15,2
19.405325_-99.173284.jpg,19.405325,-99.173284,12,3
19.405337_-99.171881.jpg,19.405337,-99.171881,12,2
19.405343_-99.175756.jpg,19.405343,-99.175756,6,2
19.405346_-99.175304.jpg,19.405346,-99.175304,10,2
19.405354_-99.174457.jpg,19.405354,-99.174457,3,2
19.405354_-99.175647.jpg,19.405354,-99.175647,12,2
19.405362_-99.170827.jpg,19.405362,-99.170827,2,1
19.405362_-99.175924.jpg,19.405362,-99.175924,12,2
19.405366_-99.174755.jpg,19.405366,-99.174755,14,2
19.405371_-99.173919.jpg,19.405371,-99.173919,7,2
19.405380_-99.174926.jpg,19.40538,-99.174926,6,1
19.405382_-99.170151.jpg,19.405382,-99.170151,12,2
19.405389_-99.174267.jpg,19.405389,-99.174267,2,2
19.405391_-99.170368.jpg,19.405391,-99.170368,7,2
19.405393_-99.168968.jpg,19.405393,-99.168968,33,1
19.405393_-99.173259.jpg,19.405393,-99.173259,5,3
19.405412_-99.169828.jpg,19.405412,-99.169828,15,3
19.405425_-99.174442.jpg,19.405425,-99.174442,2,1
19.405430_-99.175271.jpg,19.40543,-99.175271,9,2
19.405434_-99.173438.jpg,19.405434,-99.173438,9,4
19.405435_-99.173707.jpg,19.405435,-99.173707,23,2
19.405436_-99.174730.jpg,19.405436,-99.17473,7,3
19.405438_-99.175897.jpg,19.405438,-99.175897,10,2
19.405447_-99.171884.jpg,19.405447,-99.171884,7,1
19.405450_-99.171340.jpg,19.40545,-99.17134,13,3
19.405452_-99.174899.jpg,19.405452,-99.174899,3,1
19.405457_-99.170169.jpg,19.405457,-99.170169,12,3
19.405461_-99.172473.jpg,19.405461,-99.172473,17,4
19.405470_-99.173231.jpg,19.40547,-99.173231,6,1
19.405470_-99.173884.jpg,19.40547,-99.173884,26,1
