epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,4168.09,0.97138,0.65121,0.99196,0.49984,0.33108,0.28442,0.18339,1.47401,1.67804,1.36742,0.000229556,0.000229556,0.000229556
171,4191.99,0.94137,0.6386,0.9905,0.48908,0.32718,0.2896,0.18774,1.47712,1.6408,1.37157,0.000228873,0.000228873,0.000228873
172,4216.2,0.98091,0.66723,1.00995,0.47746,0.33207,0.28411,0.18857,1.48131,1.66933,1.36902,0.00022819,0.00022819,0.00022819
173,4240.34,0.92332,0.63003,0.9885,0.51328,0.3198,0.28378,0.18542,1.48518,1.62471,1.37746,0.000227507,0.000227507,0.000227507
174,4264.36,0.94485,0.63397,0.99002,0.43636,0.34365,0.27764,0.18146,1.47602,1.6278,1.37528,0.000226824,0.000226824,0.000226824
175,4289.53,0.97642,0.66249,0.9986,0.49035,0.33179,0.30059,0.19466,1.48338,1.61898,1.37443,0.000226141,0.000226141,0.000226141
176,4314.03,0.9885,0.65918,0.99093,0.4928,0.33043,0.29477,0.19117,1.47431,1.62213,1.37517,0.000225457,0.000225457,0.000225457
177,4339.36,0.99654,0.66667,1.00235,0.49995,0.32897,0.28684,0.18642,1.48126,1.62734,1.37506,0.000224774,0.000224774,0.000224774
178,4363.59,0.93709,0.63129,0.99257,0.4813,0.33454,0.29421,0.19013,1.46714,1.651,1.36583,0.000224091,0.000224091,0.000224091
179,4387.59,0.98422,0.65696,0.99157,0.43092,0.33587,0.29229,0.18379,1.4759,1.63859,1.36964,0.000223408,0.000223408,0.000223408
